18-Jan-2024 08:08:34.936 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
18-Jan-2024 08:08:34.936 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
18-Jan-2024 08:08:34.937 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:08:34.937 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:11:08.880 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:11:08.880 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:13:20.007 INFO [http-nio-8080-exec-17] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:13:20.007 INFO [http-nio-8080-exec-17] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:17:45.528 INFO [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:17:45.528 INFO [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:18:33.127 INFO [http-nio-8080-exec-27] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
18-Jan-2024 08:18:33.127 INFO [http-nio-8080-exec-27] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
18-Jan-2024 08:20:27.543 INFO [http-nio-8080-exec-33] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
